Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,21,1686.333333,0,0.030952381,0,0,Mar,2,5,2,1,Returning_Visitor,FALSE,FALSE
5,263,0,0,3,212,0,0.028571429,0,0,Mar,1,1,9,8,New_Visitor,FALSE,FALSE
1,0,0,0,34,2161.979365,0.00625,0.020233586,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
9,72.94444444,2,125.0952381,17,318.0730159,0.008695652,0.035397453,0,0,Mar,3,2,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,13,0,0.1,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,30,390.6666667,0.006666667,0.056666667,0,0,Mar,2,6,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,253,0,0.027272727,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE,FALSE
1,18.5,0,0,12,208,0.045454545,0.081818182,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
6,87.33333333,0,0,62,1470.853037,0,0.009683372,0,0,Mar,2,4,6,3,Returning_Visitor,TRUE,FALSE
6,99.60588235,0,0,83,2585.61835,0,0.00761877,6.871308983,0,Mar,2,2,2,2,Returning_Visitor,FALSE,TRUE
3,63,0,0,13,400.3333333,0.030769231,0.046153846,0,0,Mar,4,1,3,1,Returning_Visitor,FALSE,FALSE
3,68,1,103,10,808.5,0,0.015384615,35.99261538,0,Mar,2,2,3,7,Returning_Visitor,TRUE,TRUE
0,0,0,0,12,1484,0,0.016666667,0,0,Mar,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,505,0,0.05,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
3,68.5,0,0,37,1121.205556,0.005405405,0.00113798,0,0,Mar,1,1,1,2,Returning_Visitor,TRUE,FALSE
1,135,0,0,2,141,0,0.066666667,0,0,Mar,2,2,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,234,0,0.033333333,0,0,Mar,1,2,1,2,Returning_Visitor,TRUE,FALSE
1,34,0,0,7,179,0,0.028571429,53.13428571,0,Mar,2,4,2,8,New_Visitor,FALSE,TRUE
6,176.25,12,404,41,2720.671429,0.012962963,0.033262108,8.833825926,0,Mar,2,2,2,2,Returning_Visitor,TRUE,TRUE
16,315.1449864,6,147.8666667,173,6255.017866,0.002531328,0.010737154,0,0,Mar,2,2,2,2,Returning_Visitor,FALSE,FALSE
6,523.2142857,2,263,48,2309.732468,0.003846154,0.014903846,10.60089168,0,Mar,2,2,3,1,Returning_Visitor,FALSE,TRUE
4,76,0,0,39,1936.55,0.004761905,0.023809524,5.51397619,0,Mar,4,1,3,2,Returning_Visitor,FALSE,FALSE
3,118.6666667,0,0,17,694,0.003703704,0.008333333,27.45138186,0,Mar,3,2,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,11,125,0.018181818,0.081818182,0,0,Mar,2,2,1,13,Returning_Visitor,FALSE,FALSE
8,174.5,0,0,10,195.5,0,0.006060606,0,0,Mar,1,1,3,2,Returning_Visitor,FALSE,FALSE
1,40,0,0,27,1400.5,0,0.007142857,0,0,Mar,1,1,4,2,Returning_Visitor,FALSE,FALSE
8,201.1666667,3,41,18,914.1666667,0,0.0125,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE
13,374.875,1,53,88,5958.071931,0.002105263,0.00954386,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
4,56,0,0,31,270.4916667,0,0.00234375,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
3,92.83333333,0,0,24,463.8166667,0.002666667,0.015333333,17.84230699,0,Mar,1,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,16,371.5,0.0125,0.025,0,0,Mar,2,5,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,13,0.133333333,0.166666667,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
1,4,3,148.5,5,185.8333333,0,0.01875,0,0,Mar,2,2,7,2,Returning_Visitor,FALSE,FALSE
2,102,0,0,16,502.8333333,0,0.004444444,0,0,Mar,3,2,4,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,3,1016.5,0.066666667,0.066666667,0,0,Mar,3,2,5,1,Returning_Visitor,FALSE,FALSE
1,11,0,0,16,253,0,0.023529412,0,0,Mar,2,2,1,3,New_Visitor,FALSE,FALSE
0,0,1,126,17,887.0666667,0.0125,0.0296875,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,58,3200.366667,0.003448276,0.027586207,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE,FALSE
3,187,2,41,48,1769.697383,0.000606061,0.011616162,16.71534488,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,1037.5,0.014285714,0.047619048,0,0,Mar,2,2,4,2,Returning_Visitor,FALSE,FALSE
4,185,0,0,40,1694.75,0.020512821,0.031196581,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,37,1643.435516,0.005555556,0.032271242,2.188718519,0,Mar,2,4,3,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,7,383.5,0,0.023809524,0,0,Mar,3,2,6,3,Returning_Visitor,FALSE,FALSE
8,166.2,5,371,23,626.2213675,0.004444444,0.008888889,0,0,Mar,1,1,8,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,34,0.1,0.125,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,27,1070.461905,0,0.007407407,57.7293604,0,Mar,2,2,3,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE,FALSE
2,84,0,0,3,195,0,0.02,0,0,Mar,2,2,5,2,Returning_Visitor,FALSE,FALSE
3,86,0,0,22,1187.833333,0.009090909,0.027272727,0,0,Mar,3,2,3,1,Returning_Visitor,TRUE,FALSE
17,754.1095238,2,77,31,1021.619336,0.004545455,0.026479076,2.08053355,0,Mar,1,1,3,2,Returning_Visitor,FALSE,TRUE
3,24,0,0,6,58,0,0.028571429,0,0,Mar,2,2,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,18,771.0833333,0.055555556,0.071428571,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
8,17.34848485,0,0,19,291.2589744,0,0.043589744,0,0,Mar,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,695.4,0.014285714,0.028571429,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE,FALSE
2,15,0,0,3,21,0,0.05,0,0,Mar,3,2,4,8,Returning_Visitor,FALSE,FALSE
0,0,0,0,45,1594.283333,0,0.015227273,45.4316713,0,Mar,2,2,1,2,Returning_Visitor,TRUE,TRUE
3,36,1,395,12,343.5833333,0,0.014285714,0,0,Mar,2,2,1,2,New_Visitor,FALSE,FALSE
2,34,0,0,81,2241.002381,0.002439024,0.007012195,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,1,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,63,0,0.05,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
2,47,0,0,21,825.0833333,0,0.009090909,10.7929507,0,Mar,2,2,2,2,New_Visitor,FALSE,TRUE
0,0,0,0,54,1357.61783,0,0.004812274,0,0,Mar,2,2,2,2,Returning_Visitor,TRUE,FALSE
5,44.5,1,4,37,836.3333333,0.005,0.045416667,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
6,125.5,0,0,19,1409.416667,0.002469136,0.023703704,0,0,Mar,1,8,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,60.5,0.02,0.04,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
2,42,2,54,10,420,0,0.008333333,0,0,Mar,2,2,8,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,5,9,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,389,0,0.011111111,0,0,Mar,2,2,3,3,Returning_Visitor,TRUE,FALSE
2,95,0,0,15,449.5,0.0125,0.04375,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
4,56.5,0,0,8,202.1666667,0,0.01,0,0,Mar,3,2,1,8,New_Visitor,TRUE,FALSE
0,0,0,0,2,17,0,0.1,0,0,Mar,1,1,8,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,689.2857143,0,0.058333333,0,0,Mar,3,2,3,1,Returning_Visitor,TRUE,FALSE
5,134.9285714,2,41,31,2013.595238,0,0.014141414,8.482727273,0,Mar,2,2,8,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,17,933.4166667,0.031932773,0.043075335,0,0,Mar,3,2,1,3,Returning_Visitor,FALSE,FALSE
2,64,0,0,19,371.2272727,0.001666667,0.029166667,0,0,Mar,2,4,9,10,Returning_Visitor,FALSE,FALSE
3,68,0,0,8,306,0,0.008888889,0,0,Mar,1,1,9,3,New_Visitor,TRUE,FALSE
2,20.5,0,0,21,719.7380952,0.004347826,0.010434783,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,4,6,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,56,0,0.1,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
3,11.33333333,0,0,20,302.3888889,0,0.002380952,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,491.6666667,0.011111111,0.012222222,0,0,Mar,1,1,1,6,Returning_Visitor,TRUE,FALSE
5,504,0,0,13,922.0833333,0.023529412,0.023529412,0,0,Mar,3,2,8,2,Returning_Visitor,FALSE,FALSE
2,25,0,0,20,667.9166667,0,0.00952381,18.5847619,0,Mar,4,1,1,3,Returning_Visitor,FALSE,FALSE
2,20,0,0,13,181.5,0,0.013333333,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
1,19.66666667,0,0,14,512.1111111,0.028571429,0.03,0,0,Mar,3,2,3,9,Returning_Visitor,TRUE,FALSE
1,13,0,0,15,317,0,0.006666667,0,0,Mar,2,2,1,2,New_Visitor,TRUE,FALSE
0,0,0,0,17,85.66666667,0.023529412,0.080392157,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,128.5,0,0.025,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
6,76.33333333,0,0,7,78.83333333,0.004444444,0.010666667,0,0,Mar,2,2,8,2,Returning_Visitor,FALSE,FALSE
2,45.44444444,1,40.66666667,57,851.6426534,0,0.007923497,3.077836066,0,Mar,2,4,3,1,Returning_Visitor,TRUE,TRUE
3,31,0,0,58,1400.438961,0,0.005951036,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,84,0,0.033333333,0,0,Mar,1,1,8,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,167.2222222,0,0.001666667,0,0,Mar,3,2,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,12,396.5,0,0.037222222,0,0,Mar,2,4,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,22,0,0.05,0,0,Mar,1,1,3,15,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,371,0,0.02,0,0,Mar,2,2,4,10,Returning_Visitor,FALSE,FALSE
0,0,4,399.3333333,46,1814.583333,0.003673469,0.02675737,0,0,Mar,2,2,2,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,30.5,0,0.05,0,0,Mar,2,4,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,27,644,0.007692308,0.051923077,0,0,Mar,3,2,2,3,Returning_Visitor,FALSE,FALSE
8,125.1666667,0,0,27,1802.25,0.006060606,0.011774152,0,0,Mar,3,2,1,8,Returning_Visitor,TRUE,FALSE
2,13,0,0,23,855.1666667,0.008,0.025333333,0,0,Mar,2,5,1,3,Returning_Visitor,FALSE,FALSE
1,72.66666667,4,345,24,879.9090909,0,0.035897436,6.482798269,0,Mar,2,4,4,1,Returning_Visitor,FALSE,TRUE
5,100.9166667,0,0,56,1432.223333,0,0.002185792,69.43043195,0,Mar,2,2,3,3,Returning_Visitor,TRUE,TRUE
7,60,3,23,111,2524.501905,0.001694915,0.018834175,6.445051499,0,Mar,3,2,1,2,Returning_Visitor,TRUE,FALSE
3,49.5,1,29.5,45,1545.5,0,0.004,20.97144,0,Mar,2,4,3,8,Returning_Visitor,TRUE,TRUE
8,466.5,2,75.25,44,1616.425824,0.006944444,0.010974434,0,0,Mar,3,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,332,0,0.028571429,0,0,Mar,3,2,1,8,New_Visitor,TRUE,FALSE
0,0,0,0,1,40,0,0.1,0,0,Mar,3,2,1,10,Returning_Visitor,FALSE,FALSE
5,175.2307692,0,0,20,2224.85,0.004347826,0.023913043,0,0,Mar,4,2,8,1,Returning_Visitor,FALSE,FALSE
6,96.85714286,0,0,28,672.5452381,0,0.020707071,19.71468924,0,Mar,1,1,2,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,6,551,0.033333333,0.05,0,0,Mar,1,1,3,1,Returning_Visitor,FALSE,FALSE
19,402.1857143,4,116,64,3179.354257,0.002531646,0.016289934,4.642,0,Mar,2,2,2,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,10,203,0,0.026666667,0,0,Mar,3,2,2,3,Returning_Visitor,FALSE,FALSE
4,178.2,0,0,9,368.2,0.02,0.05,0,0,Mar,3,2,8,3,Returning_Visitor,TRUE,FALSE
7,156.5,1,122,26,694.7121212,0,0.00297619,0,0,Mar,2,4,1,2,Returning_Visitor,FALSE,FALSE
5,58,0,0,10,657.2619048,0,0.004166667,0,0,Mar,1,1,2,2,New_Visitor,FALSE,FALSE
0,0,0,0,7,974.6666667,0.085714286,0.128571429,0,0,Mar,2,2,1,10,Returning_Visitor,FALSE,FALSE
1,43,0,0,43,1223.347222,0,0.004545455,0,0,Mar,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,276,0.044444444,0.055555556,0,0,Mar,3,2,3,10,Returning_Visitor,FALSE,FALSE
0,0,1,844,6,1108,0.066666667,0.066666667,0,0,Mar,2,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,223,0,0.028571429,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,261,0,0.066666667,0,0,Mar,2,5,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,21,1372.7,0.019047619,0.035714286,0,0,Mar,1,1,3,1,Returning_Visitor,FALSE,FALSE
2,306,0,0,14,964.5,0,0.030952381,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
3,72,1,0,38,461.5,0.01,0.023666667,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,41,0.05,0.1,0,0,Mar,3,2,2,1,Returning_Visitor,FALSE,FALSE
1,202,0,0,2,8,0,0.066666667,0,0,Mar,2,2,8,6,New_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,39.25,0.028571429,0.034285714,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
4,359.3,4,407,69,5485.105556,0.010526316,0.017493734,4.494741228,0,Mar,1,1,2,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,8,450,0,0.025,0,0,Mar,4,1,9,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,438.3333333,0.02,0.04,0,0,Mar,2,2,7,1,Returning_Visitor,FALSE,FALSE
1,39,0,0,15,787,0,0.021875,0,0,Mar,4,1,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,319,0,0.05,0,0,Mar,1,1,6,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,15,1148,0.014285714,0.05,0,0,Mar,3,2,1,3,Returning_Visitor,FALSE,FALSE
2,41.5,2,60.5,21,534.5,0.004347826,0.02173913,0,0,Mar,2,2,2,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,20,644.4,0,0.007777778,0,0,Mar,1,1,7,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,875,0,0.014285714,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE,FALSE
2,123,0,0,7,873,0,0.011111111,0,0,Mar,1,2,2,2,Returning_Visitor,FALSE,FALSE
3,42,0,0,31,3121.369048,0.002857143,0.009285714,0,0,Mar,1,1,3,1,Returning_Visitor,TRUE,FALSE
0,0,1,81,82,3214.020563,0,0.007723577,4.667079268,0,Mar,3,3,2,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,3,14,0,0.066666667,0,0,Mar,4,1,3,3,Returning_Visitor,FALSE,FALSE
1,22,0,0,52,1551.666667,0.001818182,0.019393939,7.882377258,0,Mar,1,1,3,2,Returning_Visitor,FALSE,FALSE
2,95.5,0,0,13,334.5,0,0.002666667,0,0,Mar,3,2,1,8,New_Visitor,FALSE,FALSE
2,48.66666667,0,0,48,3726.333333,0,0.004166667,0,0,Mar,3,2,1,9,Returning_Visitor,TRUE,FALSE
5,294.7,6,329.5,59,2816.781781,0.003214696,0.014766169,2.346800426,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,38,667.1666667,0,0.005263158,0,0,Mar,2,2,4,1,Returning_Visitor,TRUE,FALSE
1,0,0,0,41,1202.904762,0.011529933,0.033252033,0,0,Mar,2,2,2,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,Mar,1,8,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1117.333333,0,0.000956938,0,0,Mar,2,4,7,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,211,0,0.044444444,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
3,125,1,70,29,705.4,0,0.015625,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
3,12,1,24,3,5.333333333,0.033333333,0.083333333,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
1,10.5,0,0,7,525,0,0.00952381,0,0,Mar,2,4,4,8,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,635.3333333,0,0.009090909,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,50,1803.768849,0.001360544,0.017428305,3.609398514,0,Mar,2,4,7,3,Returning_Visitor,TRUE,TRUE
3,99,0,0,37,2419.133333,0.007894737,0.023245614,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
6,171.0833333,0,0,28,952.2857143,0,0.013333333,52.10818182,0,Mar,2,2,1,2,Returning_Visitor,FALSE,TRUE
7,159.5,0,0,14,249,0.011764706,0.041176471,0,0,Mar,1,1,3,2,Returning_Visitor,TRUE,FALSE
1,5,0,0,13,271,0,0.003571429,0,0,Mar,1,1,2,2,New_Visitor,TRUE,FALSE
5,206,0,0,15,650.6961927,0,0.018487395,0,0,Mar,1,1,1,3,New_Visitor,FALSE,FALSE
2,40,2,162,17,481.6666667,0.024561404,0.036842105,32.64521053,0,Mar,2,7,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,258.5,0.028571429,0.071428571,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,510.5,0,0.015384615,31.3094364,0,Mar,2,2,1,2,New_Visitor,FALSE,TRUE
0,0,0,0,16,600.75,0,0.025,0,0,Mar,2,2,2,2,Returning_Visitor,FALSE,FALSE
6,262.25,3,298,49,2302.021242,0.000308642,0.026591844,43.3616369,0,Mar,1,1,1,2,Returning_Visitor,FALSE,TRUE
2,44,0,0,26,1636.016667,0.007692308,0.021794872,0,0,Mar,2,6,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,519.75,0.0125,0.04,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,673,0.018181818,0.063636364,0,0,Mar,2,6,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,173.5,0,0.05,0,0,Mar,3,3,4,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,16,156.5333333,0,0.04375,0,0,Mar,2,4,1,3,Returning_Visitor,FALSE,FALSE
